Fixture,Game,Referee,RefCountry,PensConc,Kicks,Passes,Scrums,Lineouts
1,Japan v Russia,Nigel Owens,Wales,10,78,284,17,23
2,Australia v Fiji,Ben O'Keeffe,New Zealand,21,47,258,7,32
3,France v Argentina,Angus Gardner,Australia,20,57,223,10,19
4,New Zealand v South Africa,Jérôme Garcès,France,13,61,262,14,18
5,Italy v Namibia,Nic Berry,Australia,14,54,232,20,25
6,Ireland v Scotland,Wayne Barnes,England,14,76,275,12,27
7,England v Tonga,Paul Williams,New Zealand,19,71,253,13,29
8,Wales v Georgia,Luke Pearce,England,17,69,238,12,28
9,Russia v Samoa,Romain Poite,France,15,58,272,13,22
10,Fiji v Uruguay,Pascal Gaüzère,France,16,43,351,12,20
11,Italy v Canada,Nigel Owens,Wales,16,65,225,17,27
12,England v USA,Nic Berry,Australia,15,64,278,18,27
13,Argentina v Tonga,Jaco Peyper,South Africa,17,62,234,16,31
14,Japan v Ireland,Angus Gardner,Australia,15,47,367,13,19
15,South Africa v Namibia,Mathieu Raynal,France,16,50,192,16,25
16,Georgia v Uruguay,Wayne Barnes,England,21,68,223,20,24
17,Australia v Wales,Romain Poite,France,15,59,264,10,21
18,Scotland v Samoa,Pascal Gaüzère,France,24,65,276,14,35
19,France v USA,Ben O'Keeffe,New Zealand,14,57,221,14,26
20,New Zealand v Canada,Romain Poite,France,15,54,334,17,25
21,Georgia v Fiji,Paul Williams,New Zealand,21,53,205,14,24
22,Ireland v Russia,Jérôme Garcès,France,16,65,282,17,25
23,South Africa v Italy,Wayne Barnes,England,20,75,271,13,32
24,Australia v Uruguay,Mathieu Raynal,France,17,41,240,17,26
25,England v Argentina,Nigel Owens,Wales,16,76,290,11,27
26,Japan v Samoa,Jaco Peyper,South Africa,20,57,238,10,21
27,New Zealand v Namibia,Pascal Gaüzère,France,15,37,401,1,21
28,France v Tonga,Nic Berry,Australia,13,58,215,13,27
29,South Africa v Canada,Luke Pearce,England,13,49,235,12,23
30,Argentina v USA,Paul Williams,New Zealand,21,66,338,10,34
31,Scotland v Russia,Mathieu Raynal,France,7,59,322,14,23
32,Wales v Fiji,Jérôme Garcès,France,19,53,288,18,23
33,Australia v Georgia,Pascal Gaüzère,France,22,43,237,15,30
34,New Zealand v Italy,Luke Pearce,England,NA,NA,NA,NA,NA
35,England v France,Jaco Peyper,South Africa,NA,NA,NA,NA,NA
36,Ireland v Samoa,Nic Berry,Australia,22,49,221,12,26
37,Namibia v Canada,Paul Williams,New Zealand,NA,NA,NA,NA,NA
38,USA v Tonga,Nigel Owens,Wales,9,62,338,14,30
39,Wales v Uruguay,Angus Gardner,Australia,23,46,318,21,23
40,Japan v Scotland,Ben O'Keeffe,New Zealand,11,40,267,14,16
41,England v Australia,Jérôme Garcès,France,13,40,255,13,16
42,New Zealand v Ireland,Nigel Owens,Wales,18,65,329,13,23
43,Wales v France,Jaco Peyper,South Africa,14,78,232,8,24
44,Japan v South Africa,Wayne Barnes,England,16,60,308,16,23
45,England v Wales,Nigel Owens,Wales,17,65,395,7,31
46,Wales v South Africa,Jérôme Garcès,France,17,81,182,12,21
47,New Zealand v Wales,Wayne Barnes,England,22,52,345,11,23
48,England v South Africa,Jérôme Garcès,France,18,47,250,14,14